TIME,IP,PORT,TYPE,ERROR
09:11:25,192.168.10.20,1227,tcp,Exception error for port 1227
09:11:25,192.168.10.20,1228,tcp,Exception error for port 1228
09:11:25,192.168.10.20,1229,tcp,Exception error for port 1229
09:11:25,192.168.10.20,1230,tcp,Exception error for port 1230
09:11:25,192.168.10.20,1231,tcp,Exception error for port 1231
09:11:25,192.168.10.20,1232,tcp,Exception error for port 1232
09:11:25,192.168.10.20,1233,tcp,Exception error for port 1233
09:11:25,192.168.10.20,1234,tcp,Exception error for port 1234
09:11:25,192.168.10.20,1235,tcp,Exception error for port 1235
09:11:25,192.168.10.20,1236,tcp,Exception error for port 1236
09:11:25,192.168.10.20,1237,tcp,Exception error for port 1237
09:11:25,192.168.10.20,1238,tcp,Exception error for port 1238
09:11:25,192.168.10.20,1239,tcp,Exception error for port 1239
09:11:25,192.168.10.20,1240,tcp,Exception error for port 1240
09:11:25,192.168.10.20,1241,tcp,Exception error for port 1241
09:11:25,192.168.10.20,1242,tcp,Exception error for port 1242
09:11:25,192.168.10.20,1243,tcp,Exception error for port 1243
09:11:25,192.168.10.20,1244,tcp,Exception error for port 1244
09:11:25,192.168.10.20,1245,tcp,Exception error for port 1245
09:11:25,192.168.10.20,1246,tcp,Exception error for port 1246
09:11:25,192.168.10.20,1247,tcp,Exception error for port 1247
09:11:25,192.168.10.20,1248,tcp,Exception error for port 1248
09:11:25,192.168.10.20,1249,tcp,Exception error for port 1249
09:11:25,192.168.10.20,1250,tcp,Exception error for port 1250
09:11:25,192.168.10.20,1251,tcp,Exception error for port 1251
09:11:25,192.168.10.20,1252,tcp,Exception error for port 1252
09:11:25,192.168.10.20,1253,tcp,Exception error for port 1253
09:11:25,192.168.10.20,1254,tcp,Exception error for port 1254
09:11:25,192.168.10.20,1255,tcp,Exception error for port 1255
09:11:25,192.168.10.20,1256,tcp,Exception error for port 1256
09:11:25,192.168.10.20,1257,tcp,Exception error for port 1257
09:11:25,192.168.10.20,1258,tcp,Exception error for port 1258
09:11:25,192.168.10.20,1259,tcp,Exception error for port 1259
09:11:25,192.168.10.20,1260,tcp,Exception error for port 1260
09:11:25,192.168.10.20,1261,tcp,Exception error for port 1261
09:11:25,192.168.10.20,1262,tcp,Exception error for port 1262
09:11:25,192.168.10.20,1263,tcp,Exception error for port 1263
09:11:25,192.168.10.20,1264,tcp,Exception error for port 1264
09:11:25,192.168.10.20,1265,tcp,Exception error for port 1265
09:11:25,192.168.10.20,1266,tcp,Exception error for port 1266
